word_chinese	word_english	test_option_1	test_option_2	test_option_3
冰雹;為…歡呼	hail	hail	haven	homogeneous
髮型	hairstyle	hairstyle	hazard	homosexual
半工半薪;半場休息時間	half-time	half-time	hazardous	honk
把…分成相等的兩部分	halve	halve	heading	honorary
妨礙	hamper	hamper	head-on	hood(
手冊，指南	handbook	handbook	healthful	hoof
手工藝	handicraft	handicraft	hearing	hopeless
使煩擾	harass	harass	hearty	horizontal
騷擾	harassment	harassment	heated	hormone
硬木(的)	hardwood	hardwood	heating	horsepower
強壯的，耐勞的	hardy	hardy	heave	hospitable
無害的	harmless	harmless	heavyweight	hospitality
口琴	harmonica	harmonica	hedge	hospitalize
馬具;利用(水力、風)	harness	harness	heed	hostile
倉促;輕率	haste	haste	heighten	hostility
催促	hasten	hasten	heir	hound
可恨的;討厭的	hateful	hateful	helpless	hover
拖	haul	haul	hemisphere	howl(
纏住(某人)	haunt	haunt	henceforth	hull(
避難所;港口	haven	haven	herald	humanitarian
危險	hazard	hazard	herb	humiliate
危險的，冒險的	hazardous	hazardous	hereafter	humiliation
標題	heading	heading	heritage	hunch
迎頭的；(衝突等)正面的	head-on	head-on	hermit	hurdle
有益於健康的	healthful	healthful	heroic	hurl
聽力	hearing	hearing	heroin	hybrid
衷心的	hearty	hearty	heterosexual	hygiene
加熱的;激昂的	heated	heated	hierarchy	hymn
加熱的;刺激的	heating	heating	hi-fi	hypocrisy
舉起	heave	heave	highlight	hypocrite
有影響的人	heavyweight	heavyweight	hillside(	hypothesis
樹籬	hedge	hedge	hinder	hysterical
注意到，留心	heed	heed	hinge	ideally
提高;使突出;給(描寫、故事)添加細節	heighten	heighten	hiss	ideological
後嗣;繼承人	heir	heir	hoarse	ideology
無依無靠的	helpless	helpless	hockey	idiot
半球	hemisphere	hemisphere	holder	ignite
從今以後	henceforth	henceforth	holding	illuminate
使者;預兆	herald	herald	homeless	illusion
香草，藥草	herb	herb	hometown	immense
今後	hereafter	hereafter	homogeneous	immerse
遺產	heritage	heritage	homosexual	immigrate
隱者	hermit	hermit	honk	imminent
英勇的	heroic	heroic	honorary	immune
海洛因	heroin	heroin	hood(	impair
異性愛的	heterosexual	heterosexual	hoof	impart
等級制度	hierarchy	hierarchy	hopeless	imperative
高傳真度	hi-fi	hi-fi	horizontal	impetus
強調	highlight	highlight	hormone	implicit
小山)山腰	hillside(	hillside(	horsepower	imposing
妨害，妨礙	hinder	hinder	hospitable	imprison
樞紐;鉸鏈	hinge	hinge	hospitality	imprisonment
發嘶嘶聲	hiss	hiss	hospitalize	impulse
沙啞的	hoarse	hoarse	hostile	impulsive
曲棍球	hockey	hockey	hostility	inability
所有人	holder	holder	hound	inaccessible
持有	holding	holding	hover	inappropriate
無家可歸的	homeless	homeless	howl(	inaugurate
家鄉	hometown	hometown	hull(	incense(
同種的;均質的	homogeneous	homogeneous	humanitarian	incentive
同性戀的	homosexual	homosexual	humiliate	incidence
汽車喇叭聲	honk	honk	humiliation	incidental
榮譽的	honorary	honorary	hunch	incidentally
連在外套上的)兜帽	hood(	hood(	hurdle	incline
蹄	hoof	hoof	hurl	inclined
絕望的	hopeless	hopeless	hybrid	inclusive
水平的;臥式的	horizontal	horizontal	hygiene	incorporate
荷爾蒙	hormone	hormone	hymn	incredible
馬力	horsepower	horsepower	hypocrisy	incumbent
殷勤的，好客的	hospitable	hospitable	hypocrite	incur
殷勤款待	hospitality	hospitality	hypothesis	indefinite
把…送入醫院治療	hospitalize	hospitalize	hysterical	index
懷有敵意的	hostile	hostile	ideally	indicative
敵意	hostility	hostility	ideological	indicator
獵狗	hound	hound	ideology	indictment
盤旋	hover	hover	idiot	indifference
狗、狼等)嚎;(風等)怒號;(人悲痛時的)號叫	howl(	howl(	ignite	indignant
果實等的)外殼;被覆物	hull(	hull(	illuminate	indignation
人道主義者	humanitarian	humanitarian	illusion	indirect
使蒙羞	humiliate	humiliate	immense	indispensable
屈辱	humiliation	humiliation	immerse	induce
肉峰;第六感	hunch	hunch	immigrate	indulge
突破(難關)	hurdle	hurdle	imminent	industrialized
猛投	hurl	hurl	immune	inefficient
雜種	hybrid	hybrid	impair	inertia
衛生學	hygiene	hygiene	impart	inevitably
讚歌	hymn	hymn	imperative	infantry
虛偽	hypocrisy	hypocrisy	impetus	infectious
偽善者	hypocrite	hypocrite	implicit	infinite
假設;前提	hypothesis	hypothesis	imposing	inflict
歇斯底里的	hysterical	hysterical	imprison	infrastructure
理想地	ideally	ideally	imprisonment	ingenious
意識形態的	ideological	ideological	impulse	ingenuity
思想意識	ideology	ideology	impulsive	inhabit
白癡	idiot	idiot	inability	inherent
點燃	ignite	ignite	inaccessible	inhibit
照亮	illuminate	illuminate	inappropriate	inhibited
幻覺	illusion	illusion	inaugurate	inhibition
無窮盡的	immense	immense	incense(	initially
沈浸	immerse	immerse	incentive	initiate
使移居	immigrate	immigrate	incidence	initiative
迫切的;臨頭的	imminent	imminent	incidental	injustice
有免疫力的	immune	immune	incidentally	inland
損傷;削弱	impair	impair	incline	inlet
傳授;通知	impart	impart	inclined	inmate
命令的	imperative	imperative	inclusive	inning(
動力;推動	impetus	impetus	incorporate	innovation
含蓄的;內含的	implicit	implicit	incredible	innovative
給人印象深刻的	imposing	imposing	incumbent	innumerable
監禁	imprison	imprison	incur	insane
徒刑	imprisonment	imprisonment	indefinite	insecticide
衝動	impulse	impulse	index	insecure
衝動的	impulsive	impulsive	indicative	insider
無能	inability	inability	indicator	insight
進不去的;得不到的	inaccessible	inaccessible	indictment	insistence
不適當的	inappropriate	inappropriate	indifference	insistent
就職	inaugurate	inaugurate	indignant	inspection
焚香時的)香	incense(	incense(	indignation	instability
鼓勵性質的;誘因	incentive	incentive	indirect	installation
發生	incidence	incidence	indispensable	installment
偶然的	incidental	incidental	induce	instantaneous
偶然地	incidentally	incidentally	indulge	instinctive
使傾斜;傾向於	incline	incline	industrialized	institutional
傾斜的;傾向於…的	inclined	inclined	inefficient	instrumental
…也算入的	inclusive	inclusive	inertia	insufficient
合併;使成為有限公司	incorporate	incorporate	inevitably	insulate
不可思議的	incredible	incredible	infantry	insure
義不容辭的	incumbent	incumbent	infectious	insurer
招致	incur	incur	infinite	intact
不明確的	indefinite	indefinite	inflict	intake
索引	index	index	infrastructure	integral
表示…的	indicative	indicative	ingenious	integrate
指示物	indicator	indicator	ingenuity	integration
起訴	indictment	indictment	inhabit	integrity
冷淡;不關心indifferent不關心的	indifference	indifference	inherent	intellect
憤慨的	indignant	indignant	inhibit	intelligible
憤慨	indignation	indignation	inhibited	intensity
間接的	indirect	indirect	inhibition	intent
不可缺少的	indispensable	indispensable	initially	inter-
誘導;導致	induce	induce	initiate	interaction
縱情，沈溺	indulge	indulge	initiative	intercourse
工業化的	industrialized	industrialized	injustice	interim
效能差的	inefficient	inefficient	inland	interior
慣性;遲鈍	inertia	inertia	inlet	intermittent
不可避免的	inevitably	inevitably	inmate	interruption
步兵(團)	infantry	infantry	inning(	intersection
傳染性的	infectious	infectious	innovation	intervene
無窮的	infinite	infinite	innovative	intervention
處以刑罰	inflict	inflict	innumerable	intimacy
基礎設施	infrastructure	infrastructure	insane	intimidate
機靈的;巧妙的	ingenious	ingenious	insecticide	intonation
機靈;巧妙	ingenuity	ingenuity	insecure	intricate
居住	inhabit	inhabit	insider	intrigue
固有的，生來的	inherent	inherent	insight	intriguing
禁止;約束	inhibit	inhibit	insistence	intrinsic
被約束的	inhibited	inhibited	insistent	intrusion
抑制(作用)	inhibition	inhibition	inspection	intuition
初期地	initially	initially	instability	invalid
開始;啟蒙;引進	initiate	initiate	installation	invaluable
創始的	initiative	initiative	installment	invariable
不公正	injustice	injustice	instantaneous	inventory
內地的	inland	inland	instinctive	invert
進口;插入物	inlet	inlet	institutional	investigation
同居人	inmate	inmate	instrumental	inviting
棒球、板球的)一局;當權時期	inning(	inning(	insufficient	involvement
創新;改革	innovation	innovation	insulate	inward
創新的	innovative	innovative	insure	ironic
數不清的	innumerable	innumerable	insurer	ironically
精神錯亂的	insane	insane	intact	irony
殺蟲劑	insecticide	insecticide	intake	irrelevant
不安全的，不牢靠的	insecure	insecure	integral	irresistible
知內情的人	insider	insider	integrate	irrespective
洞察力;見識	insight	insight	integration	irrigation
堅持	insistence	insistence	integrity	irritable
堅持的	insistent	insistent	intellect	irritate
審查;檢閱	inspection	inspection	intelligible	isle
不穩定性	instability	instability	intensity	isolated
裝置;安裝	installation	installation	intent	ivy
分期付款中的每期應付款	installment	installment	inter-	jack
即刻的，瞬間的	instantaneous	instantaneous	interaction	jade
天生的；本能的	instinctive	instinctive	intercourse	janitor
制度上的;公共機構的	institutional	institutional	interim	jasmine
儀器的;樂器(上)的	instrumental	instrumental	interior	jaywalk
不充分的	insufficient	insufficient	intermittent	jeer
隔離;使絕緣	insulate	insulate	interruption	jeopardize
保險	insure	insure	intersection	jerk
保險公司	insurer	insurer	intervene	jersey
完整無損的	intact	intact	intervention	jingle
攝入量;被收納的東西	intake	intake	intimacy	jobless
完全的;全體	integral	integral	intimidate	jockey(
使成整體	integrate	integrate	intonation	journalism
整合	integration	integration	intricate	joyous
誠實;完整	integrity	integrity	intrigue	judicial
智力;有才智的人	intellect	intellect	intriguing	judiciary
可以理解的	intelligible	intelligible	intrinsic	jug
強度	intensity	intensity	intrusion	jumper
意圖	intent	intent	intuition	junction
在中間，在內，互相	inter-	inter-	invalid	justification
互動	interaction	interaction	invaluable	justified
來往	intercourse	intercourse	invariable	justify
暫時，臨時	interim	interim	inventory	juvenile
內部的	interior	interior	invert	killer
間斷的;周期性的	intermittent	intermittent	investigation	killing
中斷;打岔	interruption	interruption	inviting	kin
交叉;十字路口	intersection	intersection	involvement	kindle
介入	intervene	intervene	inward	know-how
介入	intervention	intervention	ironic	knuckle
親密	intimacy	intimacy	ironically	lad
恐嚇	intimidate	intimidate	irony	lame
語調	intonation	intonation	irrelevant	lament
複雜的;精緻的	intricate	intricate	irresistible	landing
密謀	intrigue	intrigue	irrespective	large-scale
引起興趣的	intriguing	intriguing	irrigation	lash
內在的;真正的	intrinsic	intrinsic	irritable	lasting
侵入	intrusion	intrusion	irritate	latent
直覺	intuition	intuition	isle	lava
病弱的;無效的	invalid	invalid	isolated	lavish
非常貴重的	invaluable	invaluable	ivy	lawmaker
不變的	invariable	invariable	jack	lawsuit
清單;目錄	inventory	inventory	jade	layman
倒置，反轉	invert	invert	janitor	layout
調查	investigation	investigation	jasmine	lead-in
吸引人的	inviting	inviting	jaywalk	lease
包含;牽連的事務	involvement	involvement	jeer	lee
內部的;內心上的	inward	inward	jeopardize	left-hand
諷刺的	ironic	ironic	jerk	left-wing
諷刺地	ironically	ironically	jersey	legacy
譏諷	irony	irony	jingle	legislation
不相干的	irrelevant	irrelevant	jobless	legislative
不可抗拒的	irresistible	irresistible	jockey(	legislator
不顧	irrespective	irrespective	journalism	legislature
灌溉	irrigation	irrigation	joyous	legitimate
易怒的	irritable	irritable	judicial	lengthy
激怒	irritate	irritate	judiciary	lesbian
小島	isle	isle	jug	lessen
孤立的	isolated	isolated	jumper	lesser
常春藤	ivy	ivy	junction	lest
小夥子	jack	jack	justification	lethal
玉	jade	jade	justified	lever
看門人	janitor	janitor	justify	levy
茉莉	jasmine	jasmine	juvenile	liability
亂穿馬路	jaywalk	jaywalk	killer	liable
嘲笑	jeer	jeer	killing	libel
危及	jeopardize	jeopardize	kin	liberalize
猛地一拉;肌肉痙攣	jerk	jerk	kindle	liberation
運動衫	jersey	jersey	know-how	lieutenant
叮噹聲	jingle	jingle	knuckle	lifeboat
失業的	jobless	jobless	lad	lifeguard
機器等的)操作者	jockey(	jockey(	lame	lifelong
新聞工作	journalism	journalism	lament	lifestyle
快樂的;令人開心的	joyous	joyous	landing	lighting
司法的，審判上的	judicial	judicial	large-scale	lightweight
法院的	judiciary	judiciary	lash	likelihood
大壺	jug	jug	lasting	likewise
工作服	jumper	jumper	latent	lime
連接(點)	junction	junction	lava	limousine
證明為正當	justification	justification	lavish	limp
有正當理由的	justified	justified	lawmaker	linear
證明…有道理	justify	justify	lawsuit	liner
青少年的	juvenile	juvenile	layman	line-up
殺人者	killer	killer	layout	linger
殺害	killing	killing	lead-in	linguist
親屬	kin	kin	lease	lining
點燃;煽動	kindle	kindle	lee	literacy
專門技能	know-how	know-how	left-hand	literal
指關節	knuckle	knuckle	left-wing	literally
小夥子	lad	lad	legacy	literate
跛的	lame	lame	legislation	live-in
哀悼	lament	lament	legislative	livestock
降落	landing	landing	legislator	living
大規模的	large-scale	large-scale	legislature	lizard
鞭打;嚴厲的譴責	lash	lash	legitimate	llama
耐久的	lasting	lasting	lengthy	loaded
潛伏的	latent	latent	lesbian	locality
熔岩	lava	lava	lessen	located
揮霍	lavish	lavish	lesser	locked
立法委員	lawmaker	lawmaker	lest	locomotive
對…提起訴訟	lawsuit	lawsuit	lethal	locust
門外漢	layman	layman	lever	lodge
版面設計	layout	layout	levy	lofty
開場白	lead-in	lead-in	liability	logo
租借(土地)	lease	lease	liable	lollipop
保護;庇護所	lee	lee	libel	lone
左手的;勉強的	left-hand	left-hand	liberalize	lonesome
左翼的，急進的	left-wing	left-wing	liberation	longevity
遺贈；遺產	legacy	legacy	lieutenant	longitude
立法	legislation	legislation	lifeboat	long-standing
立法的	legislative	legislative	lifeguard	long-time
立法委員	legislator	legislator	lifelong	loom
立法機關	legislature	legislature	lifestyle	loot
合法的	legitimate	legitimate	lighting	lost
冗長的	lengthy	lengthy	lightweight	lottery
女性同性戀的	lesbian	lesbian	likelihood	lotus
減少;貶低	lessen	lessen	likewise	lounge
更小的	lesser	lesser	lime	loving
唯恐	lest	lest	limousine	lubricate
致命的	lethal	lethal	limp	lucrative
桿，槓	lever	lever	linear	lumber
徵收;扣押	levy	levy	liner	luminous
義務;易於…的傾向	liability	liability	line-up	lump
有義務的;有…傾向的	liable	liable	linger	lunatic
誹謗	libel	libel	linguist	lunchtime
使自由化	liberalize	liberalize	lining	lure
解放	liberation	liberation	literacy	lush
陸軍中尉	lieutenant	lieutenant	literal	lynch
救生艇	lifeboat	lifeboat	literally	lyric
救生員	lifeguard	lifeguard	literate	made-up
終身的	lifelong	lifelong	live-in	mafia
生活方式	lifestyle	lifestyle	livestock	magistrate
照明	lighting	lighting	living	magnify
不能勝任的人	lightweight	lightweight	lizard	magnitude
可能(性)	likelihood	likelihood	llama	maiden
同樣地	likewise	likewise	loaded	mainstream
石灰	lime	lime	locality	maintenance
轎車	limousine	limousine	located	majestic
一瘸一拐地走	limp	limp	locked	majesty
直線的	linear	linear	locomotive	making
班機	liner	liner	locust	malaria
一排人	line-up	line-up	lodge	mammal
逗留；徘徊	linger	linger	lofty	mandate
語言學家	linguist	linguist	logo	maneuver
襯裡	lining	lining	lollipop	manifest
識字	literacy	literacy	lone	manipulate
字面上的	literal	literal	lonesome	manuscript
字面上地	literally	literally	longevity	maple
有學問的;識字的人	literate	literate	longitude	mar
和他人未婚同居的	live-in	live-in	long-standing	mare
家畜	livestock	livestock	long-time	marginal
活著的	living	living	loom	marine
蜥蜴	lizard	lizard	loot	marked
美洲駝	llama	llama	lost	marketing
有負荷的，裝著貨的	loaded	loaded	lottery	marsh
地點	locality	locality	lotus	marshal
位於…的	located	located	lounge	martial
鎖起來的	locked	locked	loving	marvel
火車頭	locomotive	locomotive	lubricate	masculine
蝗蟲	locust	locust	lucrative	mash
寄宿	lodge	lodge	lumber	massacre
崇高的;巍峨的	lofty	lofty	luminous	massage
廣告的標識	logo	logo	lump	massive
棒棒糖	lollipop	lollipop	lunatic	mastery
寂寞的;無人煙的	lone	lone	lunchtime	materialism
寂寞的;淒涼的	lonesome	lonesome	lure	mattress(
長壽	longevity	longevity	lush	mayonnaise
經度	longitude	longitude	lynch	measurement
經年累月的	long-standing	long-standing	lyric	mechanics
長期的	long-time	long-time	made-up	mechanism
陰森森地逼近	loom	loom	mafia	media
掠奪物;掠奪	loot	loot	magistrate	mediate
迷路的	lost	lost	magnify	medication
彩票	lottery	lottery	magnitude	medieval
荷花;蓮	lotus	lotus	maiden	meditate
漫步;躺椅	lounge	lounge	mainstream	meditation
親愛的	loving	loving	maintenance	melancholy
起潤滑作用	lubricate	lubricate	majestic	mellow
賺錢的，合算的	lucrative	lucrative	majesty	menace
木材	lumber	lumber	making	mentality
明亮的;爽朗的	luminous	luminous	malaria	merchandise
塊，團;腫瘤	lump	lump	mammal	mercury
精神錯亂的	lunatic	lunatic	mandate	merely
午餐時間	lunchtime	lunchtime	maneuver	merge
誘惑	lure	lure	manifest	merger
味美的;繁榮的	lush	lush	manipulate	mermaid
私刑	lynch	lynch	manuscript	metallic
歌詞	lyric	lyric	maple	metaphor
捏造的	made-up	made-up	mar	metric
黑手黨	mafia	mafia	mare	metropolitan
地方長官	magistrate	magistrate	marginal	middle-aged
放大	magnify	magnify	marine	midst
重要性	magnitude	magnitude	marked	migrant
少女	maiden	maiden	marketing	migrate
主流	mainstream	mainstream	marsh	migration
保養;維修	maintenance	maintenance	marshal	mileage
莊嚴的	majestic	majestic	martial	milestone
威嚴	majesty	majesty	marvel	militant
一次製造量	making	making	masculine	militia
瘧疾	malaria	malaria	mash	miller
哺乳綱動物	mammal	mammal	massacre	millimeter
訓令；指令	mandate	mandate	massage	millionaire
策略;伎倆	maneuver	maneuver	massive	mimic
明白的;表明	manifest	manifest	mastery	mingle
巧妙地處理	manipulate	manipulate	materialism	miniature
手寫的;抄本	manuscript	manuscript	mattress(	minimal
楓木	maple	maple	mayonnaise	minimize
毀損	mar	mar	measurement	mining
女人	mare	mare	mechanics	ministerial
邊緣的	marginal	marginal	mechanism	mint
海的	marine	marine	media	miraculous
有記號的;顯著的	marked	marked	mediate	miscarriage
商品銷售業務	marketing	marketing	medication	mischievous
沼澤	marsh	marsh	medieval	miser
市警察局長	marshal	marshal	meditate	missionary
戰爭的;好戰的	martial	martial	meditation	mistaken
可驚歎的人物	marvel	marvel	melancholy	mixed
陽剛的	masculine	masculine	mellow	moan
磨碎，搗爛	mash	mash	menace	mobilize
大屠殺	massacre	massacre	mentality	mock
按摩	massage	massage	merchandise	mode
大的;大規模的	massive	massive	mercury	modernization
控制權;精通	mastery	mastery	merely	modernize
唯物主義	materialism	materialism	merge	modify
床用)墊子	mattress(	mattress(	merger	mold
蛋黃醬	mayonnaise	mayonnaise	mermaid	molecule
測量;尺寸	measurement	measurement	metallic	momentum
機械學	mechanics	mechanics	metaphor	monarch
機械裝置	mechanism	mechanism	metric	monarchy
媒體	media	media	metropolitan	monetary
間接的;調停	mediate	mediate	middle-aged	monopoly
藥物	medication	medication	midst	monotonous
中世紀的	medieval	medieval	migrant	monotony
深思	meditate	meditate	migrate	monstrous
冥想	meditation	meditation	migration	moody
令人傷感的	melancholy	melancholy	mileage	moor(
成熟的;圓潤的	mellow	mellow	milestone	morale(
威脅	menace	menace	militant	morality
精神；心理	mentality	mentality	militia	mortal
商品	merchandise	merchandise	miller	mortar
水銀	mercury	mercury	millimeter	mosque
單；只；純粹；全然	merely	merely	millionaire	moss
使結合	merge	merge	mimic	motherhood
合併者	merger	merger	mingle	motive
美人魚	mermaid	mermaid	miniature	motorist
金屬的	metallic	metallic	minimal	motorway
隱喻	metaphor	metaphor	minimize	motto
公制的	metric	metric	mining	mound
都會的	metropolitan	metropolitan	ministerial	mount
中年的	middle-aged	middle-aged	mint	mounted
在中間	midst	midst	miraculous	mourn
候鳥;遷徙的	migrant	migrant	miscarriage	mournful
遷移	migrate	migrate	mischievous	mouthpiece
遷移	migration	migration	miser	moving
里程	mileage	mileage	missionary	mower
里程碑	milestone	milestone	mistaken	mule
好戰的	militant	militant	mixed	multinational
民兵	militia	militia	moan	multitude
磨坊主人	miller	miller	mobilize	mumble
毫米	millimeter	millimeter	mock	municipal
大富翁	millionaire	millionaire	mode	muscular
模仿	mimic	mimic	modernization	muse
使相混	mingle	mingle	modernize	mustache (
縮小的	miniature	miniature	modify	mustard
最小的	minimal	minimal	mold	mute
使減到最少	minimize	minimize	molecule	mutter
礦業	mining	mining	momentum	mutton
部長的	ministerial	ministerial	monarch	myth
薄荷	mint	mint	monarchy	mythology
奇跡般的	miraculous	miraculous	monetary	nadir
流產	miscarriage	miscarriage	monopoly	nag
淘氣的	mischievous	mischievous	monotonous	na
小氣鬼	miser	miser	monotony	nanny
傳教(士)的;傳教士	missionary	missionary	monstrous	narrate
誤解了的	mistaken	mistaken	moody	narrative
混合的	mixed	mixed	moor(	narrator
呻吟	moan	moan	morale(	nationalism
發動;使流通	mobilize	mobilize	morality	nationalist
學樣子嘲弄	mock	mock	mortal	nationwide
模，型；樣式	mode	mode	mortar	navel
現代化	modernization	modernization	mosque	navigate
現代化	modernize	modernize	moss	navigation
修改	modify	modify	motherhood	nearsighted
鑄模	mold	mold	motive	necessitate
分子	molecule	molecule	motorist	necktie
動量;勢頭；要素	momentum	momentum	motorway	negligible
帝王	monarch	monarch	motto	negotiator
君主政治	monarchy	monarchy	mound	neighboring
金錢的	monetary	monetary	mount	neon
壟斷[獨佔](權)	monopoly	monopoly	mounted	neutral
單調的	monotonous	monotonous	mourn	newly
單調	monotony	monotony	mournful	newlywed
可怕的	monstrous	monstrous	mouthpiece	newscast
動不動發脾氣的	moody	moody	moving	newsreel
把船)繫住	moor(	moor(	mower	nibble
軍隊的)士氣；風紀	morale(	morale(	mule	nick
道德	morality	morality	multinational	nickel
凡人的;有死的	mortal	mortal	multitude	nightclub
灰泥	mortar	mortar	mumble	nightingale
清真寺	mosque	mosque	municipal	nil
苔，蘚	moss	moss	muscular	nitrogen
母親的義務	motherhood	motherhood	muse	nominal
動機	motive	motive	mustache (	nominate
開汽車的人	motorist	motorist	mustard	nomination
高速公路	motorway	motorway	mute	nominee
座右銘	motto	motto	mutter	non-violent
小丘	mound	mound	mutton	norm
登，上	mount	mount	myth	nostril
騎在馬[自行車]上的	mounted	mounted	mythology	notable
哀悼	mourn	mourn	nadir	notably
哀悼的	mournful	mournful	nag	notation
樂器的吹口;發言人	mouthpiece	mouthpiece	na	noted
使人感動的;移動的	moving	moving	nanny	noticeable
割草機	mower	mower	narrate	notify
騾子	mule	mule	narrative	notion
多國的	multinational	multinational	narrator	notorious
大量;群眾	multitude	multitude	nationalism	notwithstanding
咕噥	mumble	mumble	nationalist	novelty
都市的	municipal	municipal	nationwide	novice
肌肉發達的	muscular	muscular	navel	nucleus
沈思，默想	muse	muse	navigate	nude
嘴唇上面的)髭	mustache (	mustache (	navigation	nuisance
芥末	mustard	mustard	nearsighted	numerical
啞的	mute	mute	necessitate	nurture
抱怨	mutter	mutter	necktie	nutritious
羊肉	mutton	mutton	negligible	oar
神話	myth	myth	negotiator	oasis
神話學	mythology	mythology	neighboring	oath
最低點	nadir	nadir	neon	oatmeal
嫌言怨語；嘮叨	nag	nag	neutral	obedience
在	na	na	newly	obituary
保姆	nanny	nanny	newlywed	obligate
敘述，講(故事)	narrate	narrate	newscast	obligation
敘述的	narrative	narrative	newsreel	obligatory
敘述者	narrator	narrator	nibble	oblige
民族主義	nationalism	nationalism	nick	oblong
民族主義者	nationalist	nationalist	nickel	obscene
全國的	nationwide	nationwide	nightclub	obscure
臍；中央	navel	navel	nightingale	observer
導航;航行於	navigate	navigate	nil	obsess
導航	navigation	navigation	nitrogen	obsession
近視的	nearsighted	nearsighted	nominal	obstinate
使成為必需	necessitate	necessitate	nominate	occurrence(
領帶	necktie	necktie	nomination	octopus
可以忽視的	negligible	negligible	nominee	odds
協商者	negotiator	negotiator	non-violent	odor
鄰近的	neighboring	neighboring	norm	offering
霓虹燈	neon	neon	nostril	offset
中立的	neutral	neutral	notable	offshore
重新	newly	newly	notably	offspring
新婚之人	newlywed	newlywed	notation	old-fashioned
新聞廣播	newscast	newscast	noted	olive
新聞片	newsreel	newsreel	noticeable	one-time
一點點地咬下	nibble	nibble	notify	ongoing
刻口	nick	nick	notion	opaque
五分鎳幣	nickel	nickel	notorious	openly
夜總會	nightclub	nightclub	notwithstanding	operational
夜鶯	nightingale	nightingale	novelty	operative
無，零	nil	nil	novice	opposed
氮氣	nitrogen	nitrogen	nucleus	oppress
名義上的	nominal	nominal	nude	oppression
任命;提名	nominate	nominate	nuisance	opt
任命(權)	nomination	nomination	numerical	optical
被提名者	nominee	nominee	nurture	optimism
非暴力的	non-violent	non-violent	nutritious	optimistic
規範	norm	norm	oar	optimum
鼻孔	nostril	nostril	oasis	optional
值得注意的	notable	notable	oath	orchard
值得注意地	notably	notably	oatmeal	ordeal
記號	notation	notation	obedience	ore
著名的	noted	noted	obituary	organism
引人注意的	noticeable	noticeable	obligate	organized
通知;布告	notify	notify	obligation	orient
見解;觀點	notion	notion	obligatory	Orient
臭名昭彰的	notorious	notorious	oblige	oriental
儘管…仍…	notwithstanding	notwithstanding	oblong	Oriental
新奇的東西	novelty	novelty	obscene	orientation
初學者	novice	novice	obscure	oriented
核	nucleus	nucleus	observer	originality
赤裸裸的	nude	nude	obsess	originally
討厭[有害]的東西	nuisance	nuisance	obsession	originate
數位的	numerical	numerical	obstinate	ornament
養育；培育	nurture	nurture	occurrence(	orthodox
滋養的	nutritious	nutritious	octopus	ostrich
槳	oar	oar	odds	oust
綠洲	oasis	oasis	odor	outbreak(
誓言	oath	oath	offering	outdo
麥片粥	oatmeal	oatmeal	offset	outfit
服從；遵守	obedience	obedience	offshore	outgoing
訃聞	obituary	obituary	offspring	outing
使負義務	obligate	obligate	old-fashioned	outlaw
義務；職責	obligation	obligation	olive	outlet
義務的	obligatory	obligatory	one-time	outlook
迫使;使負債務	oblige	oblige	ongoing	outnumber
橢圓形(的)	oblong	oblong	opaque	outrage
猥褻的	obscene	obscene	openly	outrageous
猥褻的	obscure	obscure	operational	outright
觀察者	observer	observer	operative	outset
迷住;使煩擾	obsess	obsess	opposed	outsider
著魔;迷念	obsession	obsession	oppress	outskirts
頑固的	obstinate	obstinate	oppression	overdo
事件的)發生，出現	occurrence(	occurrence(	opt	overeat
章魚	octopus	octopus	optical	overhear
形勢	odds	odds	optimism	overlap
氣味	odor	odor	optimistic	oversee
提供;供品	offering	offering	optimum	oversleep
抵銷，抵銷物	offset	offset	optional	overt
離岸的	offshore	offshore	orchard	overturn(
子孫	offspring	offspring	ordeal	overwhelm
舊式的	old-fashioned	old-fashioned	ore	overwhelming
橄欖	olive	olive	organism	overwork
只發生一次的	one-time	one-time	organized	oxide
進行的	ongoing	ongoing	orient	oyster
不透明的	opaque	opaque	Orient	ozone
公開地	openly	openly	oriental	packaging
運轉的;正在使用的	operational	operational	Oriental	packed
操作的	operative	operative	orientation	packing
反對的，敵對的	opposed	opposed	oriented	pact
壓迫	oppress	oppress	originality	paddle
壓迫	oppression	oppression	originally	pagan
選擇	opt	opt	originate	paid
視覺的;光學的	optical	optical	ornament	pail
樂觀主義	optimism	optimism	orthodox	pamphlet
樂觀的	optimistic	optimistic	ostrich	pane(
最適條件;最適宜的	optimum	optimum	oust	paperback
非強制的	optional	optional	outbreak(	par
果園	orchard	orchard	outdo	paradox
苦難的經驗	ordeal	ordeal	outfit	paralyze
礦石	ore	ore	outgoing	parameter
有機體	organism	organism	outing	parish
有組織的	organized	organized	outlaw	parliamentary
東方的	orient	orient	outlet	parlor
東方	Orient	Orient	outlook	parsley
東方的	oriental	oriental	outnumber	partially
東方的	Oriental	Oriental	outrage	participation
定位	orientation	orientation	outrageous	particle
趨向於…的	oriented	oriented	outright	partition
獨創性	originality	originality	outset	partly
原來	originally	originally	outsider	part-time
起始於	originate	originate	outskirts	passing
裝飾	ornament	ornament	overdo	passionate
正統的	orthodox	orthodox	overeat	password
鴕鳥	ostrich	ostrich	overhear	pastime
逐出	oust	oust	overlap	pastry
戰爭、怒氣等的)爆發	outbreak(	outbreak(	oversee	pasture
優於;打敗	outdo	outdo	oversleep	patch
