Id,word_chinese,word_english,test_option_1,test_option_2,test_option_3
1158,芬芳的，香的,fragrant,fragrant,fundamentalism,gloomy
1159,意志薄弱的,frail,frail,fundamentalist,gnaw
1160,框架;組織,framework,framework,funding,go-ahead
1161,法郎,Franc,Franc,furnace,goalkeeper(
1162,公民權;給…以特(許)權,franchise,franchise,fury,gobble
1163,坦白地,frankly,frankly,fuse,good-looking
1164,瘋狂的,frantic,frantic,fusion,goodwill
1165,欺詐,fraud,fraud,fuss,gore
1166,反常的，奇特的,freak,freak,galaxy,gorge
1167,使煩惱;焦急，煩惱,fret,fret,gallop,gorgeous
1168,摩擦,friction,friction,garment,gorilla
1169,緣飾,fringe,fringe,gaseous,gospel
1170,邊疆,frontier,frontier,gasp,governmental
1171,轟動的;把…登在頭版上,front-page,front-page,gathering,grammatical
1172,果實累累的;收益多的,fruitful,fruitful,gauge,graph
1173,挫折,frustration,frustration,gel,graphic
1174,專職的,full-time,full-time,gender,grasshopper
1175,用煙)燻;冒煙,fume(,fume(,generalize,grassy
1176,煙氣,fumes,fumes,generate,grate
1177,原教旨主義,fundamentalism,fundamentalism,generator,graze
1178,原教旨主義者,fundamentalist,fundamentalist,genetic,grease
1179,為…提供基金,funding,funding,genetics,greed
1180,熔爐,furnace,furnace,genre,grill(
1181,狂怒,fury,fury,geographical,grim
1182,熔合;合併,fuse,fuse,geology,grip
1183,聚變,fusion,fusion,geometry,groan
1184,大驚小怪,fuss,fuss,ghetto,grocer
1185,銀河,galaxy,galaxy,gilt,groove
1186,急馳,gallop,gallop,given,grope
1187,衣服,garment,garment,glacier,gross
1188,氣體的;空虛的,gaseous,gaseous,glamour,grove
1189,喘氣;透不過氣,gasp,gasp,glamorous,growl
1190,聚集;採集,gathering,gathering,gland,grumble
1191,標準規格,gauge,gauge,glare,guaranteed
1192,凝膠(體),gel,gel,glassware,guerrilla
1193,性,gender,gender,gleam,guideline
1194,使一般化;概括,generalize,generalize,glee,guild
1195,產生,generate,generate,glisten,guitarist
1196,產生者;發電機,generator,generator,glitter,gulp
1197,遺傳(學)上的,genetic,genetic,gloom,gunman
1198,遺傳學,genetics,genetics,gloomy,gust
1199,類型,genre,genre,gnaw,gymnasium
1200,地理學的,geographical,geographical,go-ahead,gypsy
1201,地質,geology,geology,goalkeeper(,habitat
1202,幾何學,geometry,geometry,gobble,hack
1203,少數民族聚居區,ghetto,ghetto,good-looking,hacker
1204,鍍金的,gilt,gilt,goodwill,hail
1205,一定的;已知的,given,given,gore,hairstyle
1206,冰河,glacier,glacier,gorge,half-time
1207,魔法;使對…著迷,glamour,glamour,gorgeous,halve
1208,富有魔力的，迷人的,glamorous,glamorous,gorilla,hamper
1209,腺,gland,gland,gospel,handbook
1210,眩目的光;用目光表示(嫌惡、輕視),glare,glare,governmental,handicraft
1211,玻璃器皿,glassware,glassware,grammatical,harass
1212,微光,gleam,gleam,graph,harassment
1213,快樂，狂歡,glee,glee,graphic,hardwood
1214,閃爍,glisten,glisten,grasshopper,hardy
1215,閃閃發光,glitter,glitter,grassy,harmless
1216,幽暗;憂鬱,gloom,gloom,grate,harmonica
1217,陰暗的;令人沮喪的,gloomy,gloomy,graze,harness
1218,齒啃,gnaw,gnaw,grease,haste
1219,有冒險精神的,go-ahead,go-ahead,greed,hasten
1220,足球等的)守門員,goalkeeper(,goalkeeper(,grill(,hateful
1221,狼吞虎嚥,gobble,gobble,grim,haul
1222,標緻的,good-looking,good-looking,grip,haunt
1223,善意,goodwill,goodwill,groan,haven
1224,三角形地帶;刺破,gore,gore,grocer,hazard
1225,拚命吃;峽谷,gorge,gorge,groove,hazardous
1226,華麗的,gorgeous,gorgeous,grope,heading
1227,大猩猩,gorilla,gorilla,gross,head-on
1228,福音;主義,gospel,gospel,grove,healthful
1229,政府的,governmental,governmental,growl,hearing
1230,文法上的,grammatical,grammatical,grumble,hearty
1231,圖表,graph,graph,guaranteed,heated
1232,用圖表示的,graphic,graphic,guerrilla,heating
1233,螳螂,grasshopper,grasshopper,guideline,heave
1234,草多的,grassy,grassy,guild,heavyweight
1235,壁爐,grate,grate,guitarist,hedge
1236,吃草;輕輕擦過,graze,graze,gulp,heed
1237,油脂,grease,grease,gunman,heighten
1238,貪婪,greed,greed,gust,heir
1239,在烤架上)炙烤,grill(,grill(,gymnasium,helpless
1240,冷酷的;堅強的,grim,grim,gypsy,hemisphere
1241,緊握,grip,grip,habitat,henceforth
1242,呻吟,groan,groan,hack,herald
1243,雜貨商,grocer,grocer,hacker,herb
1244,溝紋,groove,groove,hail,hereafter
1245,摸索,grope,grope,hairstyle,heritage
1246,粗壯的;粗糙的;感覺遲鈍的,gross,gross,half-time,hermit
1247,樹叢,grove,grove,halve,heroic
1248,咆哮,growl,growl,hamper,heroin
1249,發牢騷,grumble,grumble,handbook,heterosexual
1250,保證的,guaranteed,guaranteed,handicraft,hierarchy
1251,游擊隊,guerrilla,guerrilla,harass,hi-fi
1252,指導方針,guideline,guideline,harassment,highlight
1253,協會,guild,guild,hardwood,hillside(
1254,吉他手,guitarist,guitarist,hardy,hinder
1255,一口吞下,gulp,gulp,harmless,hinge
1256,帶槍者,gunman,gunman,harmonica,hiss
1257,一陣狂風,gust,gust,harness,hoarse
1258,體育館，健身房,gymnasium,gymnasium,haste,hockey
1259,吉普賽人,gypsy,gypsy,hasten,holder
1260,棲息地,habitat,habitat,hateful,holding
1261,亂劈; 胡亂刪改,hack,hack,haul,homeless
1262,駭客,hacker,hacker,haunt,hometown
1263,冰雹;為…歡呼,hail,hail,haven,homogeneous
1264,髮型,hairstyle,hairstyle,hazard,homosexual
1265,半工半薪;半場休息時間,half-time,half-time,hazardous,honk
1266,把…分成相等的兩部分,halve,halve,heading,honorary
1267,妨礙,hamper,hamper,head-on,hood(
1268,手冊，指南,handbook,handbook,healthful,hoof
1269,手工藝,handicraft,handicraft,hearing,hopeless
1270,使煩擾,harass,harass,hearty,horizontal
1271,騷擾,harassment,harassment,heated,hormone
1272,硬木(的),hardwood,hardwood,heating,horsepower
1273,強壯的，耐勞的,hardy,hardy,heave,hospitable
1274,無害的,harmless,harmless,heavyweight,hospitality
1275,口琴,harmonica,harmonica,hedge,hospitalize
1276,馬具;利用(水力、風),harness,harness,heed,hostile
1277,倉促;輕率,haste,haste,heighten,hostility
1278,催促,hasten,hasten,heir,hound
1279,可恨的;討厭的,hateful,hateful,helpless,hover
1280,拖,haul,haul,hemisphere,howl(
1281,纏住(某人),haunt,haunt,henceforth,hull(
1282,避難所;港口,haven,haven,herald,humanitarian
1283,危險,hazard,hazard,herb,humiliate
1284,危險的，冒險的,hazardous,hazardous,hereafter,humiliation
1285,標題,heading,heading,heritage,hunch
1286,迎頭的；(衝突等)正面的,head-on,head-on,hermit,hurdle
1287,有益於健康的,healthful,healthful,heroic,hurl
1288,聽力,hearing,hearing,heroin,hybrid
1289,衷心的,hearty,hearty,heterosexual,hygiene
1290,加熱的;激昂的,heated,heated,hierarchy,hymn
1291,加熱的;刺激的,heating,heating,hi-fi,hypocrisy
1292,舉起,heave,heave,highlight,hypocrite
1293,有影響的人,heavyweight,heavyweight,hillside(,hypothesis
1294,樹籬,hedge,hedge,hinder,hysterical
1295,注意到，留心,heed,heed,hinge,ideally
1296,提高;使突出;給(描寫、故事)添加細節,heighten,heighten,hiss,ideological
1297,後嗣;繼承人,heir,heir,hoarse,ideology
1298,無依無靠的,helpless,helpless,hockey,idiot
1299,半球,hemisphere,hemisphere,holder,ignite
1300,從今以後,henceforth,henceforth,holding,illuminate
1301,使者;預兆,herald,herald,homeless,illusion
1302,香草，藥草,herb,herb,hometown,immense
1303,今後,hereafter,hereafter,homogeneous,immerse
1304,遺產,heritage,heritage,homosexual,immigrate
1305,隱者,hermit,hermit,honk,imminent
1306,英勇的,heroic,heroic,honorary,immune
1307,海洛因,heroin,heroin,hood(,impair
1308,異性愛的,heterosexual,heterosexual,hoof,impart
1309,等級制度,hierarchy,hierarchy,hopeless,imperative
1310,高傳真度,hi-fi,hi-fi,horizontal,impetus
1311,強調,highlight,highlight,hormone,implicit
1312,小山)山腰,hillside(,hillside(,horsepower,imposing
1313,妨害，妨礙,hinder,hinder,hospitable,imprison
1314,樞紐;鉸鏈,hinge,hinge,hospitality,imprisonment
1315,發嘶嘶聲,hiss,hiss,hospitalize,impulse
1316,沙啞的,hoarse,hoarse,hostile,impulsive
1317,曲棍球,hockey,hockey,hostility,inability
1318,所有人,holder,holder,hound,inaccessible
1319,持有,holding,holding,hover,inappropriate
1320,無家可歸的,homeless,homeless,howl(,inaugurate
1321,家鄉,hometown,hometown,hull(,incense(
1322,同種的;均質的,homogeneous,homogeneous,humanitarian,incentive
1323,同性戀的,homosexual,homosexual,humiliate,incidence
1324,汽車喇叭聲,honk,honk,humiliation,incidental
1325,榮譽的,honorary,honorary,hunch,incidentally
1326,連在外套上的)兜帽,hood(,hood(,hurdle,incline
1327,蹄,hoof,hoof,hurl,inclined
1328,絕望的,hopeless,hopeless,hybrid,inclusive
1329,水平的;臥式的,horizontal,horizontal,hygiene,incorporate
1330,荷爾蒙,hormone,hormone,hymn,incredible
1331,馬力,horsepower,horsepower,hypocrisy,incumbent
1332,殷勤的，好客的,hospitable,hospitable,hypocrite,incur
1333,殷勤款待,hospitality,hospitality,hypothesis,indefinite
1334,把…送入醫院治療,hospitalize,hospitalize,hysterical,index
1335,懷有敵意的,hostile,hostile,ideally,indicative
1336,敵意,hostility,hostility,ideological,indicator
1337,獵狗,hound,hound,ideology,indictment
1338,盤旋,hover,hover,idiot,indifference
1339,狗、狼等)嚎;(風等)怒號;(人悲痛時的)號叫,howl(,howl(,ignite,indignant
1340,果實等的)外殼;被覆物,hull(,hull(,illuminate,indignation
1341,人道主義者,humanitarian,humanitarian,illusion,indirect
1342,使蒙羞,humiliate,humiliate,immense,indispensable
1343,屈辱,humiliation,humiliation,immerse,induce
1344,肉峰;第六感,hunch,hunch,immigrate,indulge
1345,突破(難關),hurdle,hurdle,imminent,industrialized
1346,猛投,hurl,hurl,immune,inefficient
1347,雜種,hybrid,hybrid,impair,inertia
1348,衛生學,hygiene,hygiene,impart,inevitably
1349,讚歌,hymn,hymn,imperative,infantry
1350,虛偽,hypocrisy,hypocrisy,impetus,infectious
1351,偽善者,hypocrite,hypocrite,implicit,infinite
1352,假設;前提,hypothesis,hypothesis,imposing,inflict
1353,歇斯底里的,hysterical,hysterical,imprison,infrastructure
1354,理想地,ideally,ideally,imprisonment,ingenious
1355,意識形態的,ideological,ideological,impulse,ingenuity
1356,思想意識,ideology,ideology,impulsive,inhabit
1357,白癡,idiot,idiot,inability,inherent
1358,點燃,ignite,ignite,inaccessible,inhibit
1359,照亮,illuminate,illuminate,inappropriate,inhibited
1360,幻覺,illusion,illusion,inaugurate,inhibition
1361,無窮盡的,immense,immense,incense(,initially
1362,沈浸,immerse,immerse,incentive,initiate
1363,使移居,immigrate,immigrate,incidence,initiative
1364,迫切的;臨頭的,imminent,imminent,incidental,injustice
1365,有免疫力的,immune,immune,incidentally,inland
1366,損傷;削弱,impair,impair,incline,inlet
1367,傳授;通知,impart,impart,inclined,inmate
1368,命令的,imperative,imperative,inclusive,inning(
1369,動力;推動,impetus,impetus,incorporate,innovation
1370,含蓄的;內含的,implicit,implicit,incredible,innovative
1371,給人印象深刻的,imposing,imposing,incumbent,innumerable
1372,監禁,imprison,imprison,incur,insane
1373,徒刑,imprisonment,imprisonment,indefinite,insecticide
1374,衝動,impulse,impulse,index,insecure
1375,衝動的,impulsive,impulsive,indicative,insider
1376,無能,inability,inability,indicator,insight
1377,進不去的;得不到的,inaccessible,inaccessible,indictment,insistence
1378,不適當的,inappropriate,inappropriate,indifference,insistent
1379,就職,inaugurate,inaugurate,indignant,inspection
1380,焚香時的)香,incense(,incense(,indignation,instability
1381,鼓勵性質的;誘因,incentive,incentive,indirect,installation
1382,發生,incidence,incidence,indispensable,installment
1383,偶然的,incidental,incidental,induce,instantaneous
1384,偶然地,incidentally,incidentally,indulge,instinctive
1385,使傾斜;傾向於,incline,incline,industrialized,institutional
1386,傾斜的;傾向於…的,inclined,inclined,inefficient,instrumental
1387,…也算入的,inclusive,inclusive,inertia,insufficient
1388,合併;使成為有限公司,incorporate,incorporate,inevitably,insulate
1389,不可思議的,incredible,incredible,infantry,insure
1390,義不容辭的,incumbent,incumbent,infectious,insurer
1391,招致,incur,incur,infinite,intact
1392,不明確的,indefinite,indefinite,inflict,intake
1393,索引,index,index,infrastructure,integral
1394,表示…的,indicative,indicative,ingenious,integrate
1395,指示物,indicator,indicator,ingenuity,integration
1396,起訴,indictment,indictment,inhabit,integrity
1397,冷淡;不關心indifferent不關心的,indifference,indifference,inherent,intellect
1398,憤慨的,indignant,indignant,inhibit,intelligible
1399,憤慨,indignation,indignation,inhibited,intensity
1400,間接的,indirect,indirect,inhibition,intent
1401,不可缺少的,indispensable,indispensable,initially,inter-
1402,誘導;導致,induce,induce,initiate,interaction
1403,縱情，沈溺,indulge,indulge,initiative,intercourse
1404,工業化的,industrialized,industrialized,injustice,interim
1405,效能差的,inefficient,inefficient,inland,interior
1406,慣性;遲鈍,inertia,inertia,inlet,intermittent
1407,不可避免的,inevitably,inevitably,inmate,interruption
1408,步兵(團),infantry,infantry,inning(,intersection
1409,傳染性的,infectious,infectious,innovation,intervene
1410,無窮的,infinite,infinite,innovative,intervention
1411,處以刑罰,inflict,inflict,innumerable,intimacy
1412,基礎設施,infrastructure,infrastructure,insane,intimidate
1413,機靈的;巧妙的,ingenious,ingenious,insecticide,intonation
1414,機靈;巧妙,ingenuity,ingenuity,insecure,intricate
1415,居住,inhabit,inhabit,insider,intrigue
1416,固有的，生來的,inherent,inherent,insight,intriguing
1417,禁止;約束,inhibit,inhibit,insistence,intrinsic
1418,被約束的,inhibited,inhibited,insistent,intrusion
1419,抑制(作用),inhibition,inhibition,inspection,intuition
1420,初期地,initially,initially,instability,invalid
1421,開始;啟蒙;引進,initiate,initiate,installation,invaluable
1422,創始的,initiative,initiative,installment,invariable
1423,不公正,injustice,injustice,instantaneous,inventory
1424,內地的,inland,inland,instinctive,invert
1425,進口;插入物,inlet,inlet,institutional,investigation
1426,同居人,inmate,inmate,instrumental,inviting
1427,棒球、板球的)一局;當權時期,inning(,inning(,insufficient,involvement
1428,創新;改革,innovation,innovation,insulate,inward
1429,創新的,innovative,innovative,insure,ironic
1430,數不清的,innumerable,innumerable,insurer,ironically
1431,精神錯亂的,insane,insane,intact,irony
1432,殺蟲劑,insecticide,insecticide,intake,irrelevant
1433,不安全的，不牢靠的,insecure,insecure,integral,irresistible
1434,知內情的人,insider,insider,integrate,irrespective
1435,洞察力;見識,insight,insight,integration,irrigation
1436,堅持,insistence,insistence,integrity,irritable
1437,堅持的,insistent,insistent,intellect,irritate
1438,審查;檢閱,inspection,inspection,intelligible,isle
1439,不穩定性,instability,instability,intensity,isolated
1440,裝置;安裝,installation,installation,intent,ivy
1441,分期付款中的每期應付款,installment,installment,inter-,jack
1442,即刻的，瞬間的,instantaneous,instantaneous,interaction,jade
1443,天生的；本能的,instinctive,instinctive,intercourse,janitor
1444,制度上的;公共機構的,institutional,institutional,interim,jasmine
1445,儀器的;樂器(上)的,instrumental,instrumental,interior,jaywalk
1446,不充分的,insufficient,insufficient,intermittent,jeer
1447,隔離;使絕緣,insulate,insulate,interruption,jeopardize
1448,保險,insure,insure,intersection,jerk
1449,保險公司,insurer,insurer,intervene,jersey
1450,完整無損的,intact,intact,intervention,jingle
1451,攝入量;被收納的東西,intake,intake,intimacy,jobless
1452,完全的;全體,integral,integral,intimidate,jockey(
1453,使成整體,integrate,integrate,intonation,journalism
1454,整合,integration,integration,intricate,joyous
1455,誠實;完整,integrity,integrity,intrigue,judicial
1456,智力;有才智的人,intellect,intellect,intriguing,judiciary
1457,可以理解的,intelligible,intelligible,intrinsic,jug
1458,強度,intensity,intensity,intrusion,jumper
1459,意圖,intent,intent,intuition,junction
1460,在中間，在內，互相,inter-,inter-,invalid,justification
1461,互動,interaction,interaction,invaluable,justified
1462,來往,intercourse,intercourse,invariable,justify
1463,暫時，臨時,interim,interim,inventory,juvenile
1464,內部的,interior,interior,invert,killer
1465,間斷的;周期性的,intermittent,intermittent,investigation,killing
1466,中斷;打岔,interruption,interruption,inviting,kin
1467,交叉;十字路口,intersection,intersection,involvement,kindle
1468,介入,intervene,intervene,inward,know-how
1469,介入,intervention,intervention,ironic,knuckle
1470,親密,intimacy,intimacy,ironically,lad
1471,恐嚇,intimidate,intimidate,irony,lame
1472,語調,intonation,intonation,irrelevant,lament
1473,複雜的;精緻的,intricate,intricate,irresistible,landing
1474,密謀,intrigue,intrigue,irrespective,large-scale
1475,引起興趣的,intriguing,intriguing,irrigation,lash
1476,內在的;真正的,intrinsic,intrinsic,irritable,lasting
1477,侵入,intrusion,intrusion,irritate,latent
1478,直覺,intuition,intuition,isle,lava
1479,病弱的;無效的,invalid,invalid,isolated,lavish
1480,非常貴重的,invaluable,invaluable,ivy,lawmaker
1481,不變的,invariable,invariable,jack,lawsuit
1482,清單;目錄,inventory,inventory,jade,layman
1483,倒置，反轉,invert,invert,janitor,layout
1484,調查,investigation,investigation,jasmine,lead-in
1485,吸引人的,inviting,inviting,jaywalk,lease
1486,包含;牽連的事務,involvement,involvement,jeer,lee
1487,內部的;內心上的,inward,inward,jeopardize,left-hand
1488,諷刺的,ironic,ironic,jerk,left-wing
1489,諷刺地,ironically,ironically,jersey,legacy
1490,譏諷,irony,irony,jingle,legislation
1491,不相干的,irrelevant,irrelevant,jobless,legislative
1492,不可抗拒的,irresistible,irresistible,jockey(,legislator
1493,不顧,irrespective,irrespective,journalism,legislature
1494,灌溉,irrigation,irrigation,joyous,legitimate
1495,易怒的,irritable,irritable,judicial,lengthy
1496,激怒,irritate,irritate,judiciary,lesbian
1497,小島,isle,isle,jug,lessen
1498,孤立的,isolated,isolated,jumper,lesser
1499,常春藤,ivy,ivy,junction,lest
1500,小夥子,jack,jack,justification,lethal
1501,玉,jade,jade,justified,lever
1502,看門人,janitor,janitor,justify,levy
1503,茉莉,jasmine,jasmine,juvenile,liability
1504,亂穿馬路,jaywalk,jaywalk,killer,liable
1505,嘲笑,jeer,jeer,killing,libel
1506,危及,jeopardize,jeopardize,kin,liberalize
1507,猛地一拉;肌肉痙攣,jerk,jerk,kindle,liberation
1508,運動衫,jersey,jersey,know-how,lieutenant
1509,叮噹聲,jingle,jingle,knuckle,lifeboat
1510,失業的,jobless,jobless,lad,lifeguard
1511,機器等的)操作者,jockey(,jockey(,lame,lifelong
1512,新聞工作,journalism,journalism,lament,lifestyle
1513,快樂的;令人開心的,joyous,joyous,landing,lighting
1514,司法的，審判上的,judicial,judicial,large-scale,lightweight
1515,法院的,judiciary,judiciary,lash,likelihood
1516,大壺,jug,jug,lasting,likewise
1517,工作服,jumper,jumper,latent,lime
1518,連接(點),junction,junction,lava,limousine
1519,證明為正當,justification,justification,lavish,limp
1520,有正當理由的,justified,justified,lawmaker,linear
1521,證明…有道理,justify,justify,lawsuit,liner
1522,青少年的,juvenile,juvenile,layman,line-up
1523,殺人者,killer,killer,layout,linger
1524,殺害,killing,killing,lead-in,linguist
1525,親屬,kin,kin,lease,lining
1526,點燃;煽動,kindle,kindle,lee,literacy
1527,專門技能,know-how,know-how,left-hand,literal
1528,指關節,knuckle,knuckle,left-wing,literally
1529,小夥子,lad,lad,legacy,literate
1530,跛的,lame,lame,legislation,live-in
1531,哀悼,lament,lament,legislative,livestock
1532,降落,landing,landing,legislator,living
1533,大規模的,large-scale,large-scale,legislature,lizard
1534,鞭打;嚴厲的譴責,lash,lash,legitimate,llama
1535,耐久的,lasting,lasting,lengthy,loaded
1536,潛伏的,latent,latent,lesbian,locality
1537,熔岩,lava,lava,lessen,located
1538,揮霍,lavish,lavish,lesser,locked
1539,立法委員,lawmaker,lawmaker,lest,locomotive
1540,對…提起訴訟,lawsuit,lawsuit,lethal,locust
1541,門外漢,layman,layman,lever,lodge
1542,版面設計,layout,layout,levy,lofty
1543,開場白,lead-in,lead-in,liability,logo
1544,租借(土地),lease,lease,liable,lollipop
1545,保護;庇護所,lee,lee,libel,lone
1546,左手的;勉強的,left-hand,left-hand,liberalize,lonesome
1547,左翼的，急進的,left-wing,left-wing,liberation,longevity
1548,遺贈；遺產,legacy,legacy,lieutenant,longitude
1549,立法,legislation,legislation,lifeboat,long-standing
1550,立法的,legislative,legislative,lifeguard,long-time
1551,立法委員,legislator,legislator,lifelong,loom
1552,立法機關,legislature,legislature,lifestyle,loot
1553,合法的,legitimate,legitimate,lighting,lost
1554,冗長的,lengthy,lengthy,lightweight,lottery
1555,女性同性戀的,lesbian,lesbian,likelihood,lotus
1556,減少;貶低,lessen,lessen,likewise,lounge
1557,更小的,lesser,lesser,lime,loving
1558,唯恐,lest,lest,limousine,lubricate
1559,致命的,lethal,lethal,limp,lucrative
1560,桿，槓,lever,lever,linear,lumber
1561,徵收;扣押,levy,levy,liner,luminous
1562,義務;易於…的傾向,liability,liability,line-up,lump
1563,有義務的;有…傾向的,liable,liable,linger,lunatic
1564,誹謗,libel,libel,linguist,lunchtime
1565,使自由化,liberalize,liberalize,lining,lure
1566,解放,liberation,liberation,literacy,lush
1567,陸軍中尉,lieutenant,lieutenant,literal,lynch
1568,救生艇,lifeboat,lifeboat,literally,lyric
1569,救生員,lifeguard,lifeguard,literate,made-up
1570,終身的,lifelong,lifelong,live-in,mafia
1571,生活方式,lifestyle,lifestyle,livestock,magistrate
1572,照明,lighting,lighting,living,magnify
1573,不能勝任的人,lightweight,lightweight,lizard,magnitude
1574,可能(性),likelihood,likelihood,llama,maiden
1575,同樣地,likewise,likewise,loaded,mainstream
1576,石灰,lime,lime,locality,maintenance
1577,轎車,limousine,limousine,located,majestic
1578,一瘸一拐地走,limp,limp,locked,majesty
1579,直線的,linear,linear,locomotive,making
1580,班機,liner,liner,locust,malaria
1581,一排人,line-up,line-up,lodge,mammal
1582,逗留；徘徊,linger,linger,lofty,mandate
1583,語言學家,linguist,linguist,logo,maneuver
1584,襯裡,lining,lining,lollipop,manifest
1585,識字,literacy,literacy,lone,manipulate
1586,字面上的,literal,literal,lonesome,manuscript
1587,字面上地,literally,literally,longevity,maple
1588,有學問的;識字的人,literate,literate,longitude,mar
1589,和他人未婚同居的,live-in,live-in,long-standing,mare
1590,家畜,livestock,livestock,long-time,marginal
1591,活著的,living,living,loom,marine
1592,蜥蜴,lizard,lizard,loot,marked
1593,美洲駝,llama,llama,lost,marketing
1594,有負荷的，裝著貨的,loaded,loaded,lottery,marsh
1595,地點,locality,locality,lotus,marshal
1596,位於…的,located,located,lounge,martial
1597,鎖起來的,locked,locked,loving,marvel
1598,火車頭,locomotive,locomotive,lubricate,masculine
1599,蝗蟲,locust,locust,lucrative,mash
1600,寄宿,lodge,lodge,lumber,massacre
1601,崇高的;巍峨的,lofty,lofty,luminous,massage
1602,廣告的標識,logo,logo,lump,massive
1603,棒棒糖,lollipop,lollipop,lunatic,mastery
1604,寂寞的;無人煙的,lone,lone,lunchtime,materialism
1605,寂寞的;淒涼的,lonesome,lonesome,lure,mattress(
1606,長壽,longevity,longevity,lush,mayonnaise
1607,經度,longitude,longitude,lynch,measurement
1608,經年累月的,long-standing,long-standing,lyric,mechanics
1609,長期的,long-time,long-time,made-up,mechanism
1610,陰森森地逼近,loom,loom,mafia,media
1611,掠奪物;掠奪,loot,loot,magistrate,mediate
1612,迷路的,lost,lost,magnify,medication
1613,彩票,lottery,lottery,magnitude,medieval
1614,荷花;蓮,lotus,lotus,maiden,meditate
1615,漫步;躺椅,lounge,lounge,mainstream,meditation
1616,親愛的,loving,loving,maintenance,melancholy
1617,起潤滑作用,lubricate,lubricate,majestic,mellow
1618,賺錢的，合算的,lucrative,lucrative,majesty,menace
1619,木材,lumber,lumber,making,mentality
1620,明亮的;爽朗的,luminous,luminous,malaria,merchandise
1621,塊，團;腫瘤,lump,lump,mammal,mercury
1622,精神錯亂的,lunatic,lunatic,mandate,merely
1623,午餐時間,lunchtime,lunchtime,maneuver,merge
1624,誘惑,lure,lure,manifest,merger
1625,味美的;繁榮的,lush,lush,manipulate,mermaid
1626,私刑,lynch,lynch,manuscript,metallic
1627,歌詞,lyric,lyric,maple,metaphor
1628,捏造的,made-up,made-up,mar,metric
1629,黑手黨,mafia,mafia,mare,metropolitan
1630,地方長官,magistrate,magistrate,marginal,middle-aged
1631,放大,magnify,magnify,marine,midst
1632,重要性,magnitude,magnitude,marked,migrant
1633,少女,maiden,maiden,marketing,migrate
1634,主流,mainstream,mainstream,marsh,migration
1635,保養;維修,maintenance,maintenance,marshal,mileage
1636,莊嚴的,majestic,majestic,martial,milestone
1637,威嚴,majesty,majesty,marvel,militant
1638,一次製造量,making,making,masculine,militia
1639,瘧疾,malaria,malaria,mash,miller
1640,哺乳綱動物,mammal,mammal,massacre,millimeter
1641,訓令；指令,mandate,mandate,massage,millionaire
1642,策略;伎倆,maneuver,maneuver,massive,mimic
1643,明白的;表明,manifest,manifest,mastery,mingle
1644,巧妙地處理,manipulate,manipulate,materialism,miniature
1645,手寫的;抄本,manuscript,manuscript,mattress(,minimal
1646,楓木,maple,maple,mayonnaise,minimize
1647,毀損,mar,mar,measurement,mining
1648,女人,mare,mare,mechanics,ministerial
1649,邊緣的,marginal,marginal,mechanism,mint
1650,海的,marine,marine,media,miraculous
1651,有記號的;顯著的,marked,marked,mediate,miscarriage
1652,商品銷售業務,marketing,marketing,medication,mischievous
1653,沼澤,marsh,marsh,medieval,miser
1654,市警察局長,marshal,marshal,meditate,missionary
1655,戰爭的;好戰的,martial,martial,meditation,mistaken
1656,可驚歎的人物,marvel,marvel,melancholy,mixed
1657,陽剛的,masculine,masculine,mellow,moan
1658,磨碎，搗爛,mash,mash,menace,mobilize
1659,大屠殺,massacre,massacre,mentality,mock
1660,按摩,massage,massage,merchandise,mode
1661,大的;大規模的,massive,massive,mercury,modernization
1662,控制權;精通,mastery,mastery,merely,modernize
1663,唯物主義,materialism,materialism,merge,modify
1664,床用)墊子,mattress(,mattress(,merger,mold
1665,蛋黃醬,mayonnaise,mayonnaise,mermaid,molecule
1666,測量;尺寸,measurement,measurement,metallic,momentum
1667,機械學,mechanics,mechanics,metaphor,monarch
1668,機械裝置,mechanism,mechanism,metric,monarchy
1669,媒體,media,media,metropolitan,monetary
1670,間接的;調停,mediate,mediate,middle-aged,monopoly
1671,藥物,medication,medication,midst,monotonous
1672,中世紀的,medieval,medieval,migrant,monotony
1673,深思,meditate,meditate,migrate,monstrous
1674,冥想,meditation,meditation,migration,moody
1675,令人傷感的,melancholy,melancholy,mileage,moor(
1676,成熟的;圓潤的,mellow,mellow,milestone,morale(
1677,威脅,menace,menace,militant,morality
1678,精神；心理,mentality,mentality,militia,mortal
1679,商品,merchandise,merchandise,miller,mortar
1680,水銀,mercury,mercury,millimeter,mosque
1681,單；只；純粹；全然,merely,merely,millionaire,moss
1682,使結合,merge,merge,mimic,motherhood
1683,合併者,merger,merger,mingle,motive
1684,美人魚,mermaid,mermaid,miniature,motorist
1685,金屬的,metallic,metallic,minimal,motorway
1686,隱喻,metaphor,metaphor,minimize,motto
1687,公制的,metric,metric,mining,mound
1688,都會的,metropolitan,metropolitan,ministerial,mount
1689,中年的,middle-aged,middle-aged,mint,mounted
1690,在中間,midst,midst,miraculous,mourn
1691,候鳥;遷徙的,migrant,migrant,miscarriage,mournful
1692,遷移,migrate,migrate,mischievous,mouthpiece
1693,遷移,migration,migration,miser,moving
1694,里程,mileage,mileage,missionary,mower
1695,里程碑,milestone,milestone,mistaken,mule
1696,好戰的,militant,militant,mixed,multinational
1697,民兵,militia,militia,moan,multitude
1698,磨坊主人,miller,miller,mobilize,mumble
1699,毫米,millimeter,millimeter,mock,municipal
